AFGHANISTAN,Badakhshan
AFGHANISTAN,Badghis Province
AFGHANISTAN,Farah
AFGHANISTAN,Faryab Province
AFGHANISTAN,Herat Province
AFGHANISTAN,Kabul
AFGHANISTAN,Kunduz Province
AFGHANISTAN,Orūzgān Province
AFGHANISTAN,Paktia Province
AFGHANISTAN,Velāyat-e [provisional] Khowst
AFGHANISTAN,Velāyat-e [provisional] Nūrestān
AFGHANISTAN,Velāyat-e Baghlān
AFGHANISTAN,Velāyat-e Balkh
AFGHANISTAN,Velāyat-e Bāmīān
AFGHANISTAN,Velāyat-e Ghaznī
AFGHANISTAN,Velāyat-e Ghowr
AFGHANISTAN,Velāyat-e Helmand
AFGHANISTAN,Velāyat-e Jowzjān
AFGHANISTAN,Velāyat-e Kandahār
AFGHANISTAN,Velāyat-e Kāpīsā
AFGHANISTAN,Velāyat-e Konar
AFGHANISTAN,Velāyat-e Laghmān
AFGHANISTAN,Velāyat-e Lowgar
AFGHANISTAN,Velāyat-e Nangarhār
AFGHANISTAN,Velāyat-e Nīmrūz
AFGHANISTAN,Velāyat-e Paktīkā
AFGHANISTAN,Velāyat-e Parvān
AFGHANISTAN,Velāyat-e Samangān
AFGHANISTAN,Velāyat-e Sar-e Pol
AFGHANISTAN,Velāyat-e Takhār
AFGHANISTAN,Velāyat-e Vardak
AFGHANISTAN,Zabul Province
ALBANIA,Qarku i Beratit
ALBANIA,Qarku i Dibrës
ALBANIA,Qarku i Durrësit
ALBANIA,Qarku i Elbasanit
ALBANIA,Qarku i Fierit
ALBANIA,Qarku i Gjirokastrës
ALBANIA,Qarku i Korçës
ALBANIA,Qarku i Kukësit
ALBANIA,Qarku i Lezhës
ALBANIA,Qarku i Shkodrës
ALBANIA,Qarku i Tiranës
ALBANIA,Qarku i Vlorës
ALGERIA,Wilaya d' Adrar
ALGERIA,Wilaya d' Alger
ALGERIA,Wilaya d' Annaba
ALGERIA,Wilaya d' El Bayadh
ALGERIA,Wilaya d' El Oued
ALGERIA,Wilaya d' El Tarf
ALGERIA,Wilaya d' Illizi
ALGERIA,Wilaya d' Oran
ALGERIA,Wilaya d' Oum el Bouaghi
ALGERIA,Wilaya de Aïn Defla
ALGERIA,Wilaya de Aïn Temouchent
ALGERIA,Wilaya de Batna
ALGERIA,Wilaya de Béchar
ALGERIA,Wilaya de Bejaïa
ALGERIA,Wilaya de Biskra
ALGERIA,Wilaya de Blida
ALGERIA,Wilaya de Bordj Bou Arréridj
ALGERIA,Wilaya de Bouira
ALGERIA,Wilaya de Boumerdes
ALGERIA,Wilaya de Chlef
ALGERIA,Wilaya de Constantine
ALGERIA,Wilaya de Djelfa
ALGERIA,Wilaya de Ghardaïa
ALGERIA,Wilaya de Guelma
ALGERIA,Wilaya de Jijel
ALGERIA,Wilaya de Khenchela
ALGERIA,Wilaya de Laghouat
ALGERIA,Wilaya de Mascara
ALGERIA,Wilaya de Médéa
ALGERIA,Wilaya de Mila
ALGERIA,Wilaya de Mostaganem
ALGERIA,Wilaya de M'Sila
ALGERIA,Wilaya de Naama
ALGERIA,Wilaya de Ouargla
ALGERIA,Wilaya de Relizane
ALGERIA,Wilaya de Saïda
ALGERIA,Wilaya de Sétif
ALGERIA,Wilaya de Sidi Bel Abbès
ALGERIA,Wilaya de Skikda
ALGERIA,Wilaya de Souk Ahras
ALGERIA,Wilaya de Tamanghasset
ALGERIA,Wilaya de Tébessa
ALGERIA,Wilaya de Tiaret
ALGERIA,Wilaya de Tindouf
ALGERIA,Wilaya de Tipaza
ALGERIA,Wilaya de Tissemsilt
ALGERIA,Wilaya de Tizi Ouzou
ALGERIA,Wilaya de Tlemcen
ANDORRA,Parròquia d'Andorra la Vella
ANDORRA,Parròquia de Canillo
ANDORRA,Parròquia de la Massana
ANDORRA,Parròquia de Sant Julià de Lòria
ANDORRA,Parròquia d'Encamp
ANDORRA,Parròquia d'Escaldes-Engordany
ANDORRA,Parròquia d'Ordino
ANGOLA,Província da Huíla
ANGOLA,Província da Lunda Norte
ANGOLA,Província da Lunda Sul
ANGOLA,Província de Benguela
ANGOLA,Província de Cabinda
ANGOLA,Província de Luanda
ANGOLA,Província de Malanje
ANGOLA,Província de Namibe
ANGOLA,Província do Bengo
ANGOLA,Província do Bié
ANGOLA,Província do Cuando Cubango
ANGOLA,Província do Cuanza Norte
ANGOLA,Província do Cuanza Sul
ANGOLA,Província do Cunene
ANGOLA,Província do Huambo
ANGOLA,Província do Moxico
ANGOLA,Província do Uíge
ANGOLA,Província do Zaire
ANTARCTICA,Antarctica 
ANTIGUA AND BARBUDA,Barbuda
ANTIGUA AND BARBUDA,Parish of Saint George
ANTIGUA AND BARBUDA,Parish of Saint John
ANTIGUA AND BARBUDA,Parish of Saint Mary
ANTIGUA AND BARBUDA,Parish of Saint Paul
ANTIGUA AND BARBUDA,Parish of Saint Peter
ANTIGUA AND BARBUDA,Parish of Saint Philip
ARGENTINA,Distrito Federal
ARGENTINA,Provincia de Buenos Aires
ARGENTINA,Provincia de Catamarca
ARGENTINA,Provincia de Córdoba
ARGENTINA,Provincia de Corrientes
ARGENTINA,Provincia de Entre Ríos
ARGENTINA,Provincia de Formosa
ARGENTINA,Provincia de Jujuy
